"col_index","col_name"
574,"Proportion_9 Susceptible_comparator_group_value"
575,"Proportion_9 Total"
576,"Proportion_9 p-value"
577,"Proportion_9 note"
578,"Number_10 Variable_description"
579,"Number_10 Resistant_group_definition"
580,"Number_10 Resistant_group_value"
581,"Number_10 Susceptible_comparator_group_definition"
582,"Number_10 Susceptible_comparator_group_value"
583,"Number_10 Total"
584,"Number_10 p-value"
585,"Number_10 note"
586,"Proportion_10 Variable_description"
587,"Proportion_10 Resistant_group_definition"
588,"Proportion_10 Resistant_group_value"
589,"Proportion_10 Susceptible_comparator_group_definition"
590,"Proportion_10 Susceptible_comparator_group_value"
591,"Proportion_10 Total"
592,"Proportion_10 p-value"
593,"Proportion_10 note"
594,"Number_11 Variable_description"
595,"Number_11 Resistant_group_definition"
596,"Number_11 Resistant_group_value"
597,"Number_11 Susceptible_comparator_group_definition"
598,"Number_11 Susceptible_comparator_group_value"
599,"Number_11 Total"
600,"Number_11 p-value"
601,"Number_11 note"
602,"Proportion_11 Variable_description"
603,"Proportion_11 Resistant_group_definition"
604,"Proportion_11 Resistant_group_value"
605,"Proportion_11 Susceptible_comparator_group_definition"
606,"Proportion_11 Susceptible_comparator_group_value"
607,"Proportion_11 Total"
608,"Proportion_11 p-value"
609,"Proportion_11 note"
610,"Number_12 Variable_description"
611,"Number_12 Resistant_group_definition"
612,"Number_12 Resistant_group_value"
613,"Number_12 Susceptible_comparator_group_definition"
614,"Number_12 Susceptible_comparator_group_value"
615,"Number_12 Total"
616,"Number_12 p-value"
617,"Number_12 note"
618,"Proportion_12 Variable_description"
619,"Proportion_12 Resistant_group_definition"
620,"Proportion_12 Resistant_group_value"
621,"Proportion_12 Susceptible_comparator_group_definition"
622,"Proportion_12 Susceptible_comparator_group_value"
623,"Proportion_12 Total"
624,"Proportion_12 p-value"
625,"Proportion_12 note"
626,"Number_13 Variable_description"
627,"Number_13 Resistant_group_definition"
628,"Number_13 Resistant_group_value"
629,"Number_13 Susceptible_comparator_group_definition"
630,"Number_13 Susceptible_comparator_group_value"
631,"Number_13 Total"
632,"Number_13 p-value"
633,"Number_13 note"
634,"Proportion_13 Variable_description"
635,"Proportion_13 Resistant_group_definition"
636,"Proportion_13 Resistant_group_value"
637,"Proportion_13 Susceptible_comparator_group_definition"
638,"Proportion_13 Susceptible_comparator_group_value"
639,"Proportion_13 Total"
640,"Proportion_13 note"
641,"Number_14 Variable_description"
642,"Number_14 Resistant_group_definition"
643,"Number_14 Resistant_group_value"
644,"Number_14 Susceptible_comparator_group_definition"
645,"Number_14 Susceptible_comparator_group_value"
646,"Number_14 Total"
647,"Number_14 p-value"
648,"Number_14 note"
649,"Proportion_14 Variable_description"
650,"Proportion_14 Resistant_group_definition"
651,"Proportion_14 Resistant_group_value"
652,"Proportion_14 Susceptible_comparator_group_definition"
653,"Proportion_14 Susceptible_comparator_group_value"
654,"Proportion_14 Total"
655,"Proportion_14 p-value"
656,"Proportion_14 note"
657,"Number_15 Variable_description"
658,"Number_15 Resistant_group_definition"
659,"Number_15 Resistant_group_value"
660,"Number_15 Susceptible_comparator_group_definition"
661,"Number_15 Susceptible_comparator_group_value"
662,"Number_15 Total"
663,"Number_15 p-value"
664,"Number_15 note"
665,"Proportion_15 Variable_description"
666,"Proportion_15 Resistant_group_definition"
667,"Proportion_15 Resistant_group_value"
668,"Proportion_15 Susceptible_comparator_group_definition"
669,"Proportion_15 Susceptible_comparator_group_value"
670,"Proportion_15 Total"
671,"Proportion_15 p-value"
672,"Proportion_15 note"
673,"Number_16 Variable_description"
674,"Number_16 Resistant_group_definition"
675,"Number_16 Resistant_group_value"
676,"Number_16 Susceptible_comparator_group_definition"
677,"Number_16 Susceptible_comparator_group_value"
678,"Number_16 Total"
679,"Number_16 p-value"
680,"Number_16 note"
681,"Proportion_16 Variable_description"
682,"Proportion_16 Resistant_group_definition"
683,"Proportion_16 Resistant_group_value"
684,"Proportion_16 Susceptible_comparator_group_definition"
685,"Proportion_16 Susceptible_comparator_group_value"
686,"Proportion_16 Total"
687,"Proportion_16 p-value"
688,"Proportion_16 note"
689,"Number_17 Variable_description"
690,"Number_17 Resistant_group_definition"
691,"Number_17 Resistant_group_value"
692,"Number_17 Susceptible_comparator_group_definition"
693,"Number_17 Susceptible_comparator_group_value"
694,"Number_17 Total"
695,"Number_17 p-value"
696,"Number_17 note"
697,"Proportion_17 Variable_description"
698,"Proportion_17 Resistant_group_definition"
699,"Proportion_17 Resistant_group_value"
700,"Proportion_17 Susceptible_comparator_group_definition"
701,"Proportion_17 Susceptible_comparator_group_value"
702,"Proportion_17 Total"
703,"Proportion_17 p-value"
704,"Proportion_17 note"
705,"Number_18 Variable_description"
706,"Number_18 Resistant_group_definition"
707,"Number_18 Resistant_group_value"
708,"Number_18 Susceptible_comparator_group_definition"
709,"Number_18 Susceptible_comparator_group_value"
710,"Number_18 Total"
711,"Number_18 p-value"
712,"Number_18 note"
713,"Proportion_18 Variable_description"
714,"Proportion_18 Resistant_group_definition"
715,"Proportion_18 Resistant_group_value"
716,"Proportion_18 Susceptible_comparator_group_definition"
717,"Proportion_18 Susceptible_comparator_group_value"
718,"Proportion_18 Total"
719,"Proportion_18 p-value"
720,"Number_19 Variable_description"
721,"Number_19 Resistant_group_definition"
722,"Number_19 Resistant_group_value"
723,"Number_19 Susceptible_comparator_group_definition"
724,"Number_19 Susceptible_comparator_group_value"
725,"Number_19 Total"
726,"Number_19 p-value"
727,"Number_19 note"
728,"Proportion_19 Variable_description"
729,"Proportion_19 Resistant_group_definition"
730,"Proportion_19 Resistant_group_value"
731,"Proportion_19 Susceptible_comparator_group_definition"
732,"Proportion_19 Susceptible_comparator_group_value"
733,"Proportion_19 Total"
734,"Proportion_19 p-value"
735,"Number_20 Variable_description"
736,"Number_20 Resistant_group_definition"
737,"Number_20 Resistant_group_value"
